Time (ms),Theta_1_deg,Theta_1_rad,y,y_real,y_delta,Theta _2_deg,Theta_2_rad
6499,-15.3904,-0.268613153,-36.52557,36.5,-0.02557,-17.82432,-0.311093071
6532,-15.2906,-0.266871315,-36.45593,36.5,0.04407,-16.13024,-0.281525797
6557,-14.61165,-0.255021402,-36.40689,36.5,0.09311,-13.3861,-0.233631519
6591,-13.45511,-0.234835971,-36.4007,36.5,0.0993,-10.16157,-0.177352854
6625,-12.0323,-0.210003252,-36.45724,36.5,0.04276,-6.77765,-0.118292308
6667,-10.4996,-0.18325259,-36.54348,36.5,-0.04348,-3.480133,-0.060739779
6701,-8.903543,-0.15539614,-36.60235,36.5,-0.10235,-0.5079131,-0.008864756
6734,-7.237059,-0.126310508,-36.62044,36.5,-0.12044,1.971953,0.034417073
6768,-5.521686,-0.096371601,-36.63259,36.5,-0.13259,3.905436,0.068162717
6800,-3.823202,-0.066727463,-36.66933,36.5,-0.16933,5.325136,0.092941156
6834,-2.204932,-0.038483323,-36.72974,36.5,-0.22974,6.318741,0.110282835
6867,-0.7046202,-0.012297942,-36.79784,36.5,-0.29784,7.019675,0.122516441
6900,0.6419164,0.011203555,-36.86073,36.5,-0.36073,7.587161,0.13242094
6934,1.795858,0.031343635,-36.91091,36.5,-0.41091,8.157041,0.142367223
6967,2.750035,0.047997165,-36.94707,36.5,-0.44707,8.790897,0.153430097
6992,3.558152,0.062101468,-36.97709,36.5,-0.47709,9.461474,0.165133873
7026,4.327987,0.075537623,-37.0138,36.5,-0.5138,10.09209,0.176140199
7060,5.166858,0.090178684,-37.06406,36.5,-0.56406,10.6242,0.18542727
7094,6.120143,0.106816646,-37.12263,36.5,-0.62263,11.05218,0.192896931
7128,7.168763,0.125118518,-37.17719,36.5,-0.67719,11.41702,0.19926459
7170,8.26466,0.144245529,-37.21747,36.5,-0.71747,11.7977,0.205908709
7203,9.351357,0.163211969,-37.23774,36.5,-0.73774,12.28773,0.214461346
7237,10.38212,0.181202177,-37.23498,36.5,-0.73498,12.94939,0.226009492
7262,11.34481,0.198004288,-37.20908,36.5,-0.70908,13.7891,0.240665196
7296,12.26802,0.214117342,-37.16253,36.5,-0.66253,14.75962,0.257603965
7330,13.19919,0.230369324,-37.09958,36.5,-0.59958,15.78251,0.275456764
7364,14.16459,0.247218733,-37.02473,36.5,-0.52473,16.8353,0.293831416
7398,15.14697,0.264364498,-36.93738,36.5,-0.43738,18.04656,0.314971891
7432,16.0904,0.280830458,-36.83821,36.5,-0.33821,19.60824,0.342228349
7465,16.87257,0.2944819,-36.74658,36.5,-0.24658,21.56186,0.37632545
7499,17.25838,0.301215555,-36.69283,36.5,-0.19283,23.78273,0.415086944
7533,16.94763,0.295791944,-36.68386,36.5,-0.18386,26.22659,0.457740347
7567,15.73639,0.274651818,-36.68909,36.5,-0.18909,29.07072,0.50737978
7601,13.6434,0.238122251,-36.6689,36.5,-0.1689,32.51161,0.56743464
7635,10.8496,0.189361243,-36.61762,36.5,-0.11762,36.48144,0.636721244
7677,7.546216,0.131706315,-36.57876,36.5,-0.07876,40.56158,0.707933121
7711,3.942625,0.068811787,-36.60435,36.5,-0.10435,43.96605,0.767352332
7778,0.3870702,0.006755649,-36.69361,36.5,-0.19361,45.64021,0.796571936
7811,-2.747595,-0.047954579,-36.79849,36.5,-0.29849,44.7829,0.781609054
7836,-5.336682,-0.093142672,-36.8857,36.5,-0.3857,41.27528,0.720389536
7870,-7.49612,-0.130831975,-36.95699,36.5,-0.45699,35.55657,0.620579217
7904,-9.352769,-0.163236613,-37.01849,36.5,-0.51849,28.35171,0.494830688
7938,-10.94034,-0.190944954,-37.06136,36.5,-0.56136,20.44552,0.356841641
7972,-12.24381,-0.213694797,-37.07296,36.5,-0.57296,12.45744,0.217423344
8006,-13.25524,-0.231347581,-37.05247,36.5,-0.55247,4.794723,0.083683703
8048,-14.01952,-0.244686784,-37.00872,36.5,-0.50872,-2.210691,-0.038583837
8081,-14.66469,-0.255947124,-36.95061,36.5,-0.45061,-8.19136,-0.142966202
8114,-15.35896,-0.268064422,-36.88535,36.5,-0.38535,-12.75563,-0.222627742
